id,country_id/id,name,state_id.id,zipcode
MAICAO_CO,base.co,MAICAO,663,"44430"
IBAGUÉ_CO,base.co,IBAGUÉ,672,"73001"
MEDELLÍN_CO,base.co,MEDELLÍN,650,"05001"
BARRANQUILLA_CO,base.co,BARRANQUILLA,651,"08001"
LETICIA_CO,base.co,LETICIA,675,"91001"
CARTAGENA_CO,base.co,CARTAGENA,653,"13001"
TUNJA_CO,base.co,TUNJA,654,"15001"
MANIZALES_CO,base.co,MANIZALES,655,"17001"
FLORENCIA_CO,base.co,FLORENCIA,656,"18001"
YOPAL_CO,base.co,YOPAL,675,"85001"
POPAYÁN_CO,base.co,POPAYÁN,657,"19001"
VALLEDUPAR_CO,base.co,VALLEDUPAR,658,"20001"
QUIBDÓ_CO,base.co,QUIBDÓ,661,"27001"
MONTERÍA_CO,base.co,MONTERÍA,1429,"23001"
INÍRIDA_CO,base.co,INÍRIDA,679,"94001"
SAN_JOSÉ_CO,base.co,SAN JOSÉ DEL GUAVIARE,680,"95001"
NEIVA_CO,base.co,NEIVA,662,"41001"
RIOHACHA_CO,base.co,RIOHACHA,663,"44001"
SANTA_MARTA_CO,base.co,SANTA MARTA,664,"47001"
VILLAVICENCIO_CO,base.co,VILLAVICENCIO,665,"50001"
CÚCUTA_CO,base.co,PASTO,666,"52001"
CÚCUTA_CO,base.co,CÚCUTA,667,"54001"
MOCOA_CO,base.co,MOCOA,676,"86001"
ARMENIA_CO,base.co,ARMENIA,668,"63001"
PEREIRA_CO,base.co,PEREIRA,669,"66001"
SAN_ANDRÉS_CO,base.co,SAN ANDRÉS,677,"88001"
BUCARAMANGA_CO,base.co,BUCARAMANGA,670,"68001"
SINCELEJO_CO,base.co,SINCELEJO,671,"70001"
CALI_CO,base.co,CALI,673,"76001"
PUERTO_CARRE_CO,base.co,PUERTO CARREÑO,682,"99001"
COTA_CO,base.co,COTA,660,"25214"
SOPÓ_CO,base.co,SOPÓ,660,"25758"
MADRID_CO,base.co,MADRID,660,"25430"
YUMBO_CO,base.co,YUMBO,673,"76892"
FUNZA_CO,base.co,FUNZA,660,"25286"
FACATATIVA_CO,base.co,FACATATIVA,660,"25269"
TENJO_CO,base.co,TENJO,662,"25799"
PIE_CO,base.co,PIE DE CUESTA,670,"68547"
COGUA_CO,base.co,COGUA,660,"25200"
SOLEDAD_CO,base.co,SOLEDAD,651,"08758"
MOSQUERA_CO,base.co,MOSQUERA,660,"25473"
BUENAVENTURA_CO,base.co,BUENAVENTURA,673,"76109"
SOGAMOSO_CO,base.co,SOGAMOSO,654,"15759"
BANCO_CO,base.co,EL BANCO,664,"47245"
GUARNE_CO,base.co,GUARNE,650,"05318"
SOACHA_CO,base.co,SOACHA,660,"25754"
FUNDACIÓN_CO,base.co,FUNDACIÓN,664,"47288"
GALAPA_CO,base.co,GALAPA,651,"08296"
CALOTO_CO,base.co,CALOTO,657,"19142"
BOGOTÁ_CO,base.co,BOGOTÁ D.C,652,"11001"
MAGANGUE_CO,base.co,MAGANGUE,653,"13430"
MEDELLIN_CO,base.co,MEDELLIN,650,"05001"
PALMIRA_CO,base.co,PALMIRA,673,"76520"
TOCANCIPA_CO,base.co,TOCANCIPA,660,"25817"
RIONEGRO_CO,base.co,RIONEGRO,650,"05615"
DOSQUEBRADAS_CO,base.co,DOSQUEBRADAS,669,"66170"
SABANETA_CO,base.co,SABANETA,650,"05631"
BELLO_CO,base.co,BELLO,650,"05088"